Date,Description,Amount
17/09/2025,"QATAR RAIL Umm Ghuwail DOHA          QAT                                          QATAR RAIL Umm Ghuwail                                                                                                                                             DOHA      """"",-15
16/09/2025,"JEELAN FOODSTUFF       DOHA          QAT                                          JEELAN FOODSTUFF                                                                                                                                                   DOHA      """"",-15.25
16/09/2025,"WOQOD - FAREEJ BIN DIR DOHA          QAT                                          WOQOD - FAREEJ BIN DIR                                                                                                                                             DOHA      """"",-7
15/09/2025,"JEELAN FOODSTUFF       DOHA          QAT                                          JEELAN FOODSTUFF                                                                                                                                                   DOHA      """"",-22
15/09/2025,"DOSA HOUSE             DOHA          QAT                                          DOSA HOUSE                                                                                                                                                         DOHA      """"",-134.61
14/09/2025,"FAMILY FOOD CENTRE     DOHA          QAT                                          FAMILY FOOD CENTRE                                                                                                                                                 DOHA      """"",-10
14/09/2025,"WOQOD - FAREEJ BIN DIR DOHA          QAT                                          WOQOD - FAREEJ BIN DIR                                                                                                                                             DOHA      """"","-1,200.00"
14/09/2025,"BEEMA                  DOHA          QAT                                          BEEMA                                                                                                                                                              DOHA      """"",-27
11/9/2025,"CHENNAI SPICES RESTAUR DOHA          QAT                                          CHENNAI SPICES RESTAUR                                                                                                                                             DOHA      """"",-150
11/9/2025,"FAHES- Wakra           DOHA          QAT                                          FAHES- Wakra                                                                                                                                                       DOHA      """"",-71
10/9/2025,"WOQOD - UMGHUWALINA  ( DOHA          QAT                                          WOQOD - UMGHUWALINA  (                                                                                                                                             DOHA      """"",-32
8/9/2025,"kahrmaa mobile app     DOHA          QAT                                          kahrmaa mobile app                                                                                                                                                 DOHA      """"",-263.16
8/9/2025,"LULU HYPER MARKET      DOHA          QAT                                          LULU HYPER MARKET                                                                                                                                                  DOHA      """"",-120
7/9/2025,"SALUTARY FOOD TRADING  DOHA          QAT                                          SALUTARY FOOD TRADING                                                                                                                                              DOHA      """"",-700
7/9/2025,"VODAFONE (WEBSITE)     DOHA          QAT                                          VODAFONE (WEBSITE)                                                                                                                                                 DOHA      """"",-41
4/9/2025,"SALUTARY FOOD TRADING  DOHA          QAT                                          SALUTARY FOOD TRADING                                                                                                                                              DOHA      """"",-58
3/9/2025,"PIZZA PAPA JOHNS       DOHA          QAT                                          PIZZA PAPA JOHNS                                                                                                                                                   DOHA      """"",-76.9
2/9/2025,"NEW INDIAN SUP MARKET  DOHA          QAT                                          NEW INDIAN SUP MARKET                                                                                                                                              DOHA      """"",-140
1/9/2025,"PEARLING SEASON INTL S DOHA          QAT                                          PEARLING SEASON INTL S                                                                                                                                             DOHA      """"",-500
1/9/2025,"KALYAN JEWELLERS       DOHA          QAT                                          KALYAN JEWELLERS                                                                                                                                                   DOHA      """"",-500
1/9/2025,"KALYAN JEWELLERS       DOHA          QAT                                          KALYAN JEWELLERS                                                                                                                                                   DOHA      """"",-50
1/9/2025,"TANDOOR - RAYYAN       DOHA          QAT                                          TANDOOR - RAYYAN                                                                                                                                                   DOHA      """"",
